form,filing_date,report_date,items,accession_number,primary_doc_url,filing_index_url
8-K,2023-04-10,2023-04-10,2.02,0001104659-23-043287,https://www.sec.gov/Archives/edgar/data/872589/000110465923043287/tm2312136d1_8k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465923043287/
8-K,2023-03-29,2023-03-27,"1.01,2.03,9.01",0001104659-23-038299,https://www.sec.gov/Archives/edgar/data/872589/000110465923038299/tm2310647d1_8k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465923038299/
10-K,2023-02-06,2022-12-31,,0001804220-23-000008,https://www.sec.gov/Archives/edgar/data/872589/000180422023000008/regn-20221231.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422023000008/
8-K,2023-02-03,2023-02-03,"2.02,9.01",0001804220-23-000005,https://www.sec.gov/Archives/edgar/data/872589/000180422023000005/regn-20230203.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422023000005/
8-K,2023-01-09,2023-01-09,"2.02,7.01,9.01",0001104659-23-002091,https://www.sec.gov/Archives/edgar/data/872589/000110465923002091/tm231703d1_8k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465923002091/
8-K,2022-12-20,2022-12-19,"1.01,1.02,2.03,9.01",0001104659-22-128613,https://www.sec.gov/Archives/edgar/data/872589/000110465922128613/tm2233051d1_8k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465922128613/
10-Q,2022-11-03,2022-09-30,,0001804220-22-000031,https://www.sec.gov/Archives/edgar/data/872589/000180422022000031/regn-20220930.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422022000031/
8-K,2022-11-03,2022-11-03,"2.02,9.01",0001804220-22-000029,https://www.sec.gov/Archives/edgar/data/872589/000180422022000029/regn-20221103.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422022000029/
8-K,2022-10-03,2022-10-03,5.02,0001104659-22-104901,https://www.sec.gov/Archives/edgar/data/872589/000110465922104901/tm2227120d1_8k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465922104901/
10-Q,2022-08-03,2022-06-30,,0001804220-22-000023,https://www.sec.gov/Archives/edgar/data/872589/000180422022000023/regn-20220630.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422022000023/
8-K,2022-08-03,2022-08-03,"2.02,9.01",0001804220-22-000020,https://www.sec.gov/Archives/edgar/data/872589/000180422022000020/regn-20220803.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422022000020/
8-K,2022-06-15,2022-06-10,5.07,0001104659-22-071446,https://www.sec.gov/Archives/edgar/data/872589/000110465922071446/tm2218439d1_8k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465922071446/
8-K,2022-06-02,2022-06-01,1.01,0001104659-22-067375,https://www.sec.gov/Archives/edgar/data/872589/000110465922067375/tm2217255d1_8k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465922067375/
10-Q,2022-05-04,2022-03-31,,0001804220-22-000015,https://www.sec.gov/Archives/edgar/data/872589/000180422022000015/regn-20220331.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422022000015/
8-K,2022-05-04,2022-05-04,"2.02,9.01",0001804220-22-000013,https://www.sec.gov/Archives/edgar/data/872589/000180422022000013/regn-20220504.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422022000013/
8-K,2022-03-08,2022-03-02,"1.01,2.03,9.01",0001104659-22-031232,https://www.sec.gov/Archives/edgar/data/872589/000110465922031232/tm222431d2_8k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465922031232/
10-K,2022-02-07,2021-12-31,,0001804220-22-000007,https://www.sec.gov/Archives/edgar/data/872589/000180422022000007/regn-20211231.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422022000007/
8-K,2022-02-04,2022-02-04,"2.02,9.01",0001804220-22-000004,https://www.sec.gov/Archives/edgar/data/872589/000180422022000004/regn-20220204.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422022000004/
8-K,2022-01-10,2022-01-10,"2.02,7.01,9.01",0001104659-22-002403,https://www.sec.gov/Archives/edgar/data/872589/000110465922002403/tm222431d1_8k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465922002403/
10-Q,2021-11-04,2021-09-30,,0001804220-21-000033,https://www.sec.gov/Archives/edgar/data/872589/000180422021000033/regn-20210930.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422021000033/
8-K,2021-11-04,2021-11-04,"2.02,9.01",0001804220-21-000031,https://www.sec.gov/Archives/edgar/data/872589/000180422021000031/regn-20211104.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422021000031/
8-K,2021-09-16,2021-09-14,1.01,0001104659-21-116352,https://www.sec.gov/Archives/edgar/data/872589/000110465921116352/tm2127757d1_8k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465921116352/
10-Q,2021-08-05,2021-06-30,,0001804220-21-000025,https://www.sec.gov/Archives/edgar/data/872589/000180422021000025/regn-20210630.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422021000025/
8-K,2021-08-05,2021-08-05,"2.02,9.01",0001804220-21-000023,https://www.sec.gov/Archives/edgar/data/872589/000180422021000023/regn-20210805.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422021000023/
8-K,2021-06-16,2021-06-11,5.07,0001104659-21-082035,https://www.sec.gov/Archives/edgar/data/872589/000110465921082035/tm2119804d1_8k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465921082035/
10-Q,2021-05-06,2021-03-31,,0001804220-21-000017,https://www.sec.gov/Archives/edgar/data/872589/000180422021000017/regn-20210331.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422021000017/
8-K,2021-05-06,2021-05-06,"2.02,9.01",0001804220-21-000015,https://www.sec.gov/Archives/edgar/data/872589/000180422021000015/regn-20210506.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422021000015/
10-K,2021-02-08,2020-12-31,,0001804220-21-000008,https://www.sec.gov/Archives/edgar/data/872589/000180422021000008/regn-20201231.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422021000008/
8-K,2021-02-05,2021-02-05,"2.02,9.01",0001804220-21-000006,https://www.sec.gov/Archives/edgar/data/872589/000180422021000006/regn-20210205.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422021000006/
8-K,2021-01-15,2021-01-12,1.01,0001104659-21-004699,https://www.sec.gov/Archives/edgar/data/872589/000110465921004699/tm211603d3_8k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465921004699/
8-K,2021-01-11,2021-01-11,"2.02,7.01,9.01",0001104659-21-002614,https://www.sec.gov/Archives/edgar/data/872589/000110465921002614/tm211603d2_8k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465921002614/
8-K,2021-01-05,2020-12-31,5.02,0001104659-21-000538,https://www.sec.gov/Archives/edgar/data/872589/000110465921000538/tm211603d1_8k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465921000538/
10-Q,2020-11-05,2020-09-30,,0001804220-20-000030,https://www.sec.gov/Archives/edgar/data/872589/000180422020000030/regn-20200930.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422020000030/
8-K,2020-11-05,2020-11-05,"2.02,9.01",0001804220-20-000028,https://www.sec.gov/Archives/edgar/data/872589/000180422020000028/regn-20201105.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422020000028/
8-K,2020-08-19,2020-08-18,1.01,0001104659-20-096661,https://www.sec.gov/Archives/edgar/data/872589/000110465920096661/tm2028954d1_8k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465920096661/
8-K,2020-08-12,2020-08-07,"1.01,2.03,8.01,9.01",0001104659-20-093924,https://www.sec.gov/Archives/edgar/data/872589/000110465920093924/tm2027319-1_8k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465920093924/
424B5,2020-08-11,,,0001047469-20-004486,https://www.sec.gov/Archives/edgar/data/872589/000104746920004486/a2242217z424b5.htm,https://www.sec.gov/Archives/edgar/data/872589/000104746920004486/
10-Q,2020-08-05,2020-06-30,,0001804220-20-000022,https://www.sec.gov/Archives/edgar/data/872589/000180422020000022/regn-20200630.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422020000022/
8-K,2020-08-05,2020-08-05,"2.02,9.01",0001804220-20-000020,https://www.sec.gov/Archives/edgar/data/872589/000180422020000020/regn-20200805.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422020000020/
8-K,2020-07-07,2020-07-06,"1.01,7.01",0001104659-20-081559,https://www.sec.gov/Archives/edgar/data/872589/000110465920081559/tm2024240d1_8k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465920081559/
8-K,2020-06-16,2020-06-12,"5.02,5.07,9.01",0001104659-20-073794,https://www.sec.gov/Archives/edgar/data/872589/000110465920073794/tm2022678d_8k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465920073794/
8-K,2020-05-29,2020-05-25,"1.01,7.01,9.01",0001104659-20-067752,https://www.sec.gov/Archives/edgar/data/872589/000110465920067752/tm2021201-1_8k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465920067752/
