asset_name,name_variants_merged,sponsor(s),trial_count,phases_seen,statuses_seen,earliest_trial_start,most_recent_update,nct_ids
XT-150,,"Xalud Therapeutics, Inc.",6,"PHASE1; PHASE1,PHASE2; PHASE2",COMPLETED; WITHDRAWN,2018-03-21,2025-03-27,NCT05196919; NCT03769662; NCT03282149; NCT04124042; NCT04841512; NCT03477487
FX201,,"Pacira Pharmaceuticals, Inc",1,PHASE1,ACTIVE_NOT_RECRUITING,2020-03-02,2025-03-17,NCT04119687
KBP-336,,KeyBioscience AG,1,PHASE2,RECRUITING,2025-01-28,2025-02-19,NCT06833749
MEDI7352,,AstraZeneca,2,PHASE1; PHASE2,COMPLETED,2020-12-02,2025-02-10,NCT04675034; NCT04770428
SMUP-IA-01(mid-dose),SMUP-IA-01(high-dose); SMUP-IA-01(low dose); SMUP-IA-01(low-dose); SMUP-IA-01(mid dose),Medipost Co Ltd.,10,PHASE1; PHASE2,ACTIVE_NOT_RECRUITING; COMPLETED; UNKNOWN,2019-10-07,2025-02-07,NCT05182034; NCT05182034; NCT04037345; NCT04037345; NCT04037345; NCT04339504; NCT04339504; NCT04339504; NCT06798727; NCT06798727
High Hyal Plus,,Medipost Co Ltd.,1,PHASE2,ACTIVE_NOT_RECRUITING,2023-03-20,2025-02-07,NCT06798727
Active Control Group Sodium chloride,,Medipost Co Ltd.,1,PHASE2,COMPLETED,2022-02-24,2025-02-05,NCT05182034
StroMel,,"Akan Biosciences, LLC",1,"PHASE1,PHASE2",NOT_YET_RECRUITING,2025-10-01,2025-01-29,NCT04750252
ACP-044 Dose A,,ACADIA Pharmaceuticals Inc.,1,PHASE2,TERMINATED,2021-07-20,2025-01-09,NCT05008835
ACP-044 Dose B,,ACADIA Pharmaceuticals Inc.,1,PHASE2,TERMINATED,2021-07-20,2025-01-09,NCT05008835
HZT-501,,Amgen,3,PHASE3,COMPLETED,2007-03,2024-12-18,NCT00450658; NCT00613106; NCT00984815
Placebos,,Eurofarma Laboratorios S.A.; TRB Chemedica,2,PHASE3,RECRUITING; WITHDRAWN,2019-01,2024-11-22,NCT03936192; NCT04318041
Wobenzym®,,Mucos Pharma GmbH & Co. KG,1,NA,COMPLETED,2021-04-30,2024-11-22,NCT05038410
Artrodar,,TRB Chemedica,1,PHASE3,RECRUITING,2020-11-22,2024-11-22,NCT04318041
MENISC-T,,TBF Genie Tissulaire,1,PHASE2,COMPLETED,2021-01-01,2024-11-14,NCT05250726
ASP7962,,Astellas Pharma Europe B.V.,1,PHASE2,COMPLETED,2016-02-16,2024-10-31,NCT02611466
CGS-200-1,,Propella Therapeutics,1,PHASE2,COMPLETED,2018-05-14,2024-10-30,NCT03528369
CGS-200-5,,Propella Therapeutics,1,PHASE2,COMPLETED,2018-05-14,2024-10-30,NCT03528369
CGS-200 Vehicle,,Propella Therapeutics,1,PHASE2,COMPLETED,2018-05-14,2024-10-30,NCT03528369
bupivacaine liposome injectable suspension,,"Pacira Pharmaceuticals, Inc",1,PHASE3,COMPLETED,2022-01-18,2024-10-24,NCT05139030
Bupivacaine Hydrochloride,,"Pacira Pharmaceuticals, Inc",1,PHASE3,COMPLETED,2022-01-18,2024-10-24,NCT05139030
TD0015,,Sao Thai Duong Joint Stock Company,1,PHASE2,UNKNOWN,2021-07-01,2024-10-24,NCT06657495
TD0015 Placebo,,Sao Thai Duong Joint Stock Company,1,PHASE2,UNKNOWN,2021-07-01,2024-10-24,NCT06657495
TLC599,,Taiwan Liposome Company,3,"PHASE1,PHASE2; PHASE2; PHASE3",COMPLETED,2015-06,2024-10-23,NCT03754049; NCT02803307; NCT04123561
DSP,,Taiwan Liposome Company,2,PHASE2; PHASE3,COMPLETED,2019-01-21,2024-10-23,NCT03754049; NCT04123561
Ibuprofen and PRP,,QC Kinetix LLC,1,"PHASE1,PHASE2",WITHDRAWN,2023-11-01,2024-10-09,NCT05742763
