asset_name,name_variants_merged,sponsor(s),trial_count,phases_seen,statuses_seen,earliest_trial_start,most_recent_update,nct_ids
Lansoprazole and naproxen and aspirin,,Takeda,1,PHASE3,COMPLETED,2003-07,2010-07-22,NCT00175032
Intra-articular Injection of OP-1 to affected knee,,Stryker Biotech,1,PHASE1,COMPLETED,2007-03,2010-06-17,NCT00456157
honeybee venom (Apitoxin (Korea) Apitox (USA)),,"Apimeds, Inc.",1,PHASE2,COMPLETED,2009-10,2010-05-05,NCT00949754
OROS hydromorphone HCL ; OxyContin,,"Alza Corporation, DE, USA",1,PHASE3,COMPLETED,,2010-04-27,NCT00399048
Diacerhein,,Laboratoires NEGMA,1,PHASE4,COMPLETED,2007-03,2010-03-04,NCT00440661
Lidoderm,,"Endo USA Inc., a Keenova Therapeutics Company",2,PHASE2; PHASE4,COMPLETED; TERMINATED,2004-06,2010-02-15,NCT00904462; NCT00904605
ASU,,Laboratoires Expanscience S.A.,1,PHASE3,COMPLETED,1999-12,2010-02-04,NCT01062737
kondrium,,Nucitec,1,"PHASE2,PHASE3",UNKNOWN,2007-11,2010-01-20,NCT00977444
kondrium f,,Nucitec,1,"PHASE2,PHASE3",UNKNOWN,2007-11,2010-01-20,NCT00977444
ART 44,,Laboratoires NEGMA,1,PHASE3,UNKNOWN,2009-11,2009-11-09,NCT01009671
ART 50,,Laboratoires NEGMA,1,PHASE3,UNKNOWN,2009-11,2009-11-09,NCT01009671
ketoprofen in Diractin®,,IDEA AG,3,PHASE3,COMPLETED,2008-05,2009-10-16,NCT00716547; NCT00716547; NCT00722852
AGG-523,AGG-523 (Aggrecanase Inhibitor),Wyeth is now a wholly owned subsidiary of Pfizer,3,PHASE1,COMPLETED,2006-07,2009-07-29,NCT00454298; NCT00380900; NCT00427687
IDEA-033,IDEA-033 (and rescue medication),IDEA AG,2,PHASE2; PHASE3,COMPLETED,2005-06,2009-03-20,NCT00316784; NCT00211549
Ketoprofen in Transfersome,,IDEA AG,1,PHASE2,COMPLETED,,2009-03-20,NCT00317733
Cura-100,,Cura Biotech LLC,1,"PHASE1,PHASE2",UNKNOWN,2007-05,2009-02-19,NCT00455208
Ibuprofen-PC,,PLx Pharma,1,PHASE2,COMPLETED,2005-01,2008-11-26,NCT00219700
Aquamin F,,Marigot Ltd.,2,"PHASE1,PHASE2",COMPLETED,2006-01,2008-09-19,NCT00452101; NCT00755482
Systemic AMG 108,,Amgen,1,PHASE2,COMPLETED,2005-02,2008-06-23,NCT00110942
Silicified microcrystalline cellulose + talc,,"CrystalGenomics, Inc.",1,PHASE2,UNKNOWN,2007-10,2008-06-13,NCT00530452
PN 200 tablets (500 mg naproxen and 20 mg omeprazole),,POZEN,1,PHASE3,COMPLETED,2006-09,2008-04-22,NCT00367211
Buprenorphine Transdermal System,,Mundipharma K.K.,1,PHASE3,COMPLETED,2006-05,2008-04-15,NCT00345787
"CJ-023,423",,Pfizer,1,PHASE1,COMPLETED,2006-11,2008-03-24,NCT00392080
Intra-articular metHuIL-1ra (anakinra),,Amgen,1,PHASE2,COMPLETED,2004-06,2008-02-22,NCT00110916
"Lamaline® , 3 different doses, Dafalgan codeine",,Solvay Pharmaceuticals,1,PHASE3,COMPLETED,2005-12,2008-02-20,NCT00264225
PLA-695,,Wyeth is now a wholly owned subsidiary of Pfizer,1,PHASE2,TERMINATED,2006-11,2007-12-28,NCT00396955
Transdermal delivery system,,Mundipharma AB,1,PHASE4,COMPLETED,2006-11,2007-08-17,NCT00399178
"Oral salmon calcitonin, salmon calcitonin nasal spray",,Nordic Bioscience A/S,1,PHASE1,COMPLETED,2005-10,2007-06-14,NCT00486317
Fibrin Sealant Vapor-Heated Solvent/Detergent-treated,,Baxter Healthcare Corporation,1,PHASE3,COMPLETED,2001-08,2006-10-23,NCT00161902
rhBMP-2/CPM,,Wyeth is now a wholly owned subsidiary of Pfizer,1,PHASE1,COMPLETED,2003-11,2006-10-06,NCT00243295
Buprenorphine transdermal delivery system,,Purdue Pharma LP,2,PHASE3,COMPLETED,1996-11,2006-05-03,NCT00314652; NCT00315848
