form,filing_date,report_date,items,accession_number,primary_doc_url,filing_index_url
8-K,2020-12-09,2020-12-09,"2.02,9.01",0001396814-20-000054,https://www.sec.gov/Archives/edgar/data/1396814/000139681420000054/pcrx-20201209.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681420000054/
8-K,2020-12-07,2020-12-04,"5.02,9.01",0001396814-20-000052,https://www.sec.gov/Archives/edgar/data/1396814/000139681420000052/pcrx-20201204.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681420000052/
8-K,2020-11-12,2020-11-11,"2.02,9.01",0001396814-20-000048,https://www.sec.gov/Archives/edgar/data/1396814/000139681420000048/pcrx-20201111.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681420000048/
10-Q,2020-10-30,2020-09-30,,0001396814-20-000045,https://www.sec.gov/Archives/edgar/data/1396814/000139681420000045/pcrx-20200930.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681420000045/
8-K,2020-10-29,2020-10-29,"2.02,9.01",0001396814-20-000041,https://www.sec.gov/Archives/edgar/data/1396814/000139681420000041/pcrx-20201029.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681420000041/
8-K,2020-10-07,2020-10-07,"2.02,9.01",0001396814-20-000037,https://www.sec.gov/Archives/edgar/data/1396814/000139681420000037/pcrx-20201007.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681420000037/
8-K,2020-09-09,2020-09-09,"2.02,9.01",0001396814-20-000033,https://www.sec.gov/Archives/edgar/data/1396814/000139681420000033/pcrx-20200909.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681420000033/
10-Q,2020-08-06,2020-06-30,,0001396814-20-000029,https://www.sec.gov/Archives/edgar/data/1396814/000139681420000029/pcrx-20200630.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681420000029/
8-K,2020-08-06,2020-08-06,"2.02,9.01",0001396814-20-000027,https://www.sec.gov/Archives/edgar/data/1396814/000139681420000027/pcrx-20200806.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681420000027/
8-K,2020-07-10,2020-07-10,"1.01,2.03,3.02,8.01,9.01",0001104659-20-082725,https://www.sec.gov/Archives/edgar/data/1396814/000110465920082725/tm2024106d5_8k.htm,https://www.sec.gov/Archives/edgar/data/1396814/000110465920082725/
8-K,2020-07-06,2020-07-06,"2.02,9.01",0001104659-20-081228,https://www.sec.gov/Archives/edgar/data/1396814/000110465920081228/tm2024180d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1396814/000110465920081228/
8-K,2020-07-02,2020-07-02,"1.02,7.01,9.01",0001104659-20-080205,https://www.sec.gov/Archives/edgar/data/1396814/000110465920080205/tm2024016d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1396814/000110465920080205/
8-K,2020-06-11,2020-06-05,"5.02,5.07,9.01",0001104659-20-072223,https://www.sec.gov/Archives/edgar/data/1396814/000110465920072223/tm2022374d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1396814/000110465920072223/
10-Q,2020-05-07,2020-03-31,,0001396814-20-000020,https://www.sec.gov/Archives/edgar/data/1396814/000139681420000020/pcrx-20200331.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681420000020/
8-K,2020-05-07,2020-05-07,"2.02,9.01",0001396814-20-000018,https://www.sec.gov/Archives/edgar/data/1396814/000139681420000018/pcrx-20200507.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681420000018/
10-K,2020-02-21,2019-12-31,,0001396814-20-000008,https://www.sec.gov/Archives/edgar/data/1396814/000139681420000008/pcrx-12312019x10k.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681420000008/
8-K,2020-02-20,2020-02-20,"2.02,9.01",0001396814-20-000006,https://www.sec.gov/Archives/edgar/data/1396814/000139681420000006/pcrx-12312019x8xk.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681420000006/
8-K,2020-01-10,2020-01-10,5.02,0001104659-20-002832,https://www.sec.gov/Archives/edgar/data/1396814/000110465920002832/tm201685d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1396814/000110465920002832/
8-K,2020-01-09,2020-01-09,"2.02,9.01",0001396814-20-000003,https://www.sec.gov/Archives/edgar/data/1396814/000139681420000003/a2019revenue8-k.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681420000003/
10-Q,2019-11-08,2019-09-30,,0001396814-19-000029,https://www.sec.gov/Archives/edgar/data/1396814/000139681419000029/pcrx-9302019x10xq.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681419000029/
8-K,2019-11-07,2019-11-07,"2.02,9.01",0001396814-19-000027,https://www.sec.gov/Archives/edgar/data/1396814/000139681419000027/a8-kxpcrxq32019earning.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681419000027/
8-K,2019-09-19,2019-09-18,5.02,0001410578-19-001324,https://www.sec.gov/Archives/edgar/data/1396814/000141057819001324/tv529754_8k.htm,https://www.sec.gov/Archives/edgar/data/1396814/000141057819001324/
10-Q,2019-08-08,2019-06-30,,0001396814-19-000023,https://www.sec.gov/Archives/edgar/data/1396814/000139681419000023/pcrx-6302019x10xq.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681419000023/
8-K,2019-08-08,2019-08-08,"2.02,9.01",0001396814-19-000021,https://www.sec.gov/Archives/edgar/data/1396814/000139681419000021/a8-kxpcrxq22019earning.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681419000021/
8-K,2019-06-19,2019-06-19,"5.02,9.01",0001104659-19-036279,https://www.sec.gov/Archives/edgar/data/1396814/000110465919036279/a19-11734_18k.htm,https://www.sec.gov/Archives/edgar/data/1396814/000110465919036279/
8-K,2019-06-07,2019-06-04,"5.02,5.07,9.01",0001104659-19-034541,https://www.sec.gov/Archives/edgar/data/1396814/000110465919034541/a19-11215_18k.htm,https://www.sec.gov/Archives/edgar/data/1396814/000110465919034541/
10-Q,2019-05-02,2019-03-31,,0001396814-19-000014,https://www.sec.gov/Archives/edgar/data/1396814/000139681419000014/pcrx-3312019x10xq.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681419000014/
8-K,2019-05-02,2019-05-02,"2.02,9.01",0001396814-19-000012,https://www.sec.gov/Archives/edgar/data/1396814/000139681419000012/a8-kxpcrxq12019earningscall.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681419000012/
8-K,2019-04-09,2019-04-09,"2.01,5.03,8.01,9.01",0001104659-19-020471,https://www.sec.gov/Archives/edgar/data/1396814/000110465919020471/a19-7968_18k.htm,https://www.sec.gov/Archives/edgar/data/1396814/000110465919020471/
8-K,2019-03-05,2019-03-04,"1.01,8.01,9.01",0001104659-19-012708,https://www.sec.gov/Archives/edgar/data/1396814/000110465919012708/a19-5831_18k.htm,https://www.sec.gov/Archives/edgar/data/1396814/000110465919012708/
10-K,2019-02-28,2018-12-31,,0001396814-19-000008,https://www.sec.gov/Archives/edgar/data/1396814/000139681419000008/pcrx-12312018x10k.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681419000008/
8-K,2019-02-28,2019-02-28,"2.02,9.01",0001396814-19-000006,https://www.sec.gov/Archives/edgar/data/1396814/000139681419000006/pcrx-123118x8xk.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681419000006/
8-K,2019-01-03,2019-01-03,"2.02,9.01",0001396814-19-000002,https://www.sec.gov/Archives/edgar/data/1396814/000139681419000002/a2018revenue8-k.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681419000002/
10-Q,2018-11-01,2018-09-30,,0001396814-18-000031,https://www.sec.gov/Archives/edgar/data/1396814/000139681418000031/pcrx-9302018x10xq.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681418000031/
8-K,2018-11-01,2018-11-01,"2.02,9.01",0001396814-18-000029,https://www.sec.gov/Archives/edgar/data/1396814/000139681418000029/a8-kxpcrxq32018earningscall.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681418000029/
10-Q,2018-08-02,2018-06-30,,0001396814-18-000025,https://www.sec.gov/Archives/edgar/data/1396814/000139681418000025/pcrx-6302018x10xq.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681418000025/
8-K,2018-08-02,2018-08-02,"2.02,9.01",0001396814-18-000023,https://www.sec.gov/Archives/edgar/data/1396814/000139681418000023/a8-kxpcrxq22018earningscall.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681418000023/
8-K,2018-07-10,2018-07-10,"2.02,9.01",0001396814-18-000019,https://www.sec.gov/Archives/edgar/data/1396814/000139681418000019/a8-k2017q2revenuepressrele.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681418000019/
8-K,2018-06-15,2018-06-12,5.07,0001396814-18-000017,https://www.sec.gov/Archives/edgar/data/1396814/000139681418000017/a8-kpcrx2018annualmeeting.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681418000017/
